"","country","govleft","unemp","proprep","socexp"
"41","Australia",0,6.27814960479736,1,18.2000007629395
"93","Austria",4.42999982833862,3.63333344459534,1,27.5
"145","Belgium",53.3333320617676,6.875,1,25.2999992370605
"197","Canada",0,6.81666660308838,0,16.5
"249","Denmark",76.1900024414062,4.32499980926514,1,26.6000003814697
"301","Finland",50,9.78333377838135,1,24.2000007629395
"353","France",100,9.01666641235352,1,28.8999996185303
"405","Germany",100,8.00833320617676,1,27.8999996185303
"457","Greece",100,11.2333335876465,1,19.2999992370605
"509","Iceland",0,2.29999995231628,1,16.6000003814697
"561","Ireland",0,4.19999980926514,1,13.3999996185303
"613","Italy",57.9502792358398,10.0500001907349,1,24.8999996185303
"665","Japan",0,4.71666669845581,1,17
"717","Luxembourg",0,2.24166655540466,1,20.8999996185303
"769","Netherlands",40,3.05833339691162,1,20.5
"821","New Zealand",100,6.15000009536743,1,19
"873","Norway",79.1780853271484,3.24166655540466,1,22.6000003814697
"925","Portugal",69.7043991088867,3.99166655540466,1,19.2999992370605
"977","Spain",0,11.6499996185303,1,20.2000007629395
"1029","Sweden",100,5.59999990463257,1,29
"1081","Switzerland",28.5699996948242,2.54036569595337,1,24.8999996185303
"1133","UK",100,5.36666679382324,0,19.2999992370605
"1185","USA",0,3.99166655540466,0,14.8999996185303
